tool_slug,tool_title,tool_href,link_text,link_href,status,final_url,result
"escort-count-calculator","Escort Count Calculator","/tools/escort-count-calculator","Directory","/directory","200","https://www.haulcommand.com/directory","PASS"
"escort-count-calculator","Escort Count Calculator","/tools/escort-count-calculator","Pilot Car Files","/escort-requirements","200","https://www.haulcommand.com/escort-requirements","PASS"
"escort-count-calculator","Escort Count Calculator","/tools/escort-count-calculator","Claim Profile","/claim","200","https://www.haulcommand.com/claim","PASS"
"escort-calculator","Escort Requirement Checker","/tools/escort-calculator","Directory","/directory","200","https://www.haulcommand.com/directory","PASS"
"escort-calculator","Escort Requirement Checker","/tools/escort-calculator","Pilot Car Files","/escort-requirements","200","https://www.haulcommand.com/escort-requirements","PASS"
"escort-calculator","Escort Requirement Checker","/tools/escort-calculator","Claim Profile","/claim","200","https://www.haulcommand.com/claim","PASS"
